dataset,miss_rate,method,init,sparsity,n_nearest_features,rmse_0,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_mean,rmse_sd,flops,successes,failures,success_rate,failure_rate
letter,0.2,GAIN,Random,0.8,,0.1256,0.1277,0.1279,0.1289,0.1294,0.1305,0.1322,0.1323,0.1325,0.1397,0.1307,0.0036995,490,10,3,0.7692,0.2308
letter,0.2,GAIN,Random,0.9,,0.1248,0.1253,0.1258,0.126,0.1264,0.1268,0.1284,0.129,0.1347,0.1365,0.1284,0.0038380,285,10,2,0.8333,0.1667
letter,0.2,GAIN,Random,0.95,,0.1251,0.127,0.1273,0.1326,0.1329,0.1345,0.1369,0.1374,0.1545,0.1551,0.1363,0.0100382,183,10,1,0.9091,0.0909
letter,0.2,GAIN,Random,0.99,,0.1376,0.1384,0.1547,0.1549,0.1551,0.1551,0.1552,0.1553,0.1554,0.1558,0.1517,0.0068829,101,10,0,1.0000,0.0000
letter,0.2,IterativeImputer,,0.0,,0.1129,0.1134,0.1136,0.1136,0.1136,0.1137,0.1138,0.1139,0.1142,0.1145,0.1137,0.0004118,,10,0,1.0000,0.0000
letter,0.2,IterativeImputerRF,,0.0,,0.0633,0.0644,0.0644,0.0644,0.0649,0.065,0.0651,0.0654,0.0661,0.0662,0.0649,0.0008207,,10,0,1.0000,0.0000
spam,0.2,GAIN,Dense,0.0,,0.0515,0.0521,0.0529,0.053,0.0533,0.0537,0.0538,0.053,0.054,0.0542,0.0531,0.0008065,26277,10,6,0.6250,0.3750
spam,0.2,GAIN,ER,0.6,,,,,,,,,,,,,,,0,30,0.0000,1.0000
spam,0.2,GAIN,ER,0.8,,,,,,,,,,,,,,,0,24,0.0000,1.0000
spam,0.2,GAIN,ER,0.9,,,,,,,,,,,,,,,0,20,0.0000,1.0000
spam,0.2,GAIN,ER,0.95,,,,,,,,,,,,,,,0,20,0.0000,1.0000
